"","frasi","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"93","E anche questa volta fanno quello che vogliono loro, fregandosene altamente di quello che voglio io.",0,0,0,0,0,0,0,0,0,0
"94","Sbuffo sonoramente, mi alzo dal letto e vado a lavarmi i denti.",0,0,0,0,0,0,0,0,0,0
"95","Infilo gli stessi indumenti di ieri e li seguo verso la macchina.",0,0,0,0,0,0,0,1,0,0
"96","Il centro commerciale non dista molto da casa nostra.",0,0,0,0,0,0,0,1,0,1
"97","Una volta dentro mi stupisco di quanta gente ci sia dentro.",0,0,0,0,0,0,0,0,0,0
"98","«Entro qua.» dico a mia madre.",0,1,0,0,1,1,0,1,1,1
"99","Lei si gira verso di me e mi segue dentro al negozio.",0,1,0,0,0,0,0,0,0,1
"100","Alla fine prendo un paio di jeans chiari, dei top di vari colori e delle magliette - alcune a tinta unita, altre con delle piccole stampe -.«Trev, ma chi ci fai conoscere?» dice la ragazza platinata ridacchiando.",0,0,0,0,0,0,0,0,0,0
"101","«Ronnie...» dice Trevor tirandole un‘occhiataccia.",0,0,0,0,0,0,0,0,0,0
"102","Cosa?«Non sono alla tua altezza, forse?» mi intrometto io.",0,0,0,0,0,0,0,0,0,0
"103","Ma come si permette?",0,0,0,0,0,0,0,0,0,0
"104","Chi si crede di essere?",0,0,0,0,0,0,0,0,0,0
"105","Il ragazzo in nero si alza di scatto e mi viene davanti, prende la sigaretta tra le dita e mi guarda minaccioso negli occhi.",1,0,1,1,0,2,0,0,5,0
"106","«No, non sei alla nostra altezza.",0,0,0,0,0,0,0,0,1,0
"107","E non mi frega un cazzo di come ti chiami, ci hai fatto perdere già un sacco di tempo.» sputa acido.",3,1,2,2,0,2,2,1,4,0
"108","Sento la rabbia ribollirmi nelle vene, alzo una mano per dargli uno schiaffo ma Trevor mi prende per le spalle e mi porta via, continuando a guardare i suoi amici.",3,0,0,0,0,0,1,0,4,0
"109","«È meglio non metterselo contro.»",1,0,0,0,0,0,0,0,1,0
"110","Mi dice.",0,0,0,0,0,0,0,0,0,0
"111","«Hai un gran bel gruppo di merda.» dico scostandomi bruscamente da lui.",1,0,2,0,0,0,0,0,3,0
"112","«Allie, mi dispiace.",0,0,0,0,0,0,0,0,0,0
"113","» dice dietro di me.",0,0,0,0,0,0,0,0,0,0
"114","«Lascia perdere.» sbuffo mentre mi allontano, e gli sono grata del fatto che questa volta non mi abbia seguita.",3,0,2,1,0,2,1,1,4,0
"115","Sopporta Allie, sopporta.",0,0,0,0,0,0,0,0,0,0
"116","Guardo il telefono, c‘è un messaggio di mio padre:""Tesoro, mi dispiace ma oggi tardo.",0,1,0,0,1,0,0,2,1,1
"117","Non potrò passare a prenderti a scuola, ci vediamo a casa.",0,0,0,0,0,0,0,1,0,0
"118","""Possibile che il mondo ce l‘abbia con me?",0,0,0,0,0,0,0,0,0,0
"119","Mi incammino nel vialetto che ho percorso stamattina per venire a scuola.",0,0,0,0,0,0,0,1,0,0
"120","E pensare che filava tutto liscio.",0,0,0,0,0,0,0,0,0,0
"121","Ripenso alle parole di quel... di quell‘essere.",1,0,0,0,0,0,0,0,1,0
"122","Non sono alla loro altezza, non sono alla loro altezza!",0,0,0,0,0,0,0,0,0,0
"123","Rido istericamente tra me, la gente che passa mi prenderà per pazza.",0,0,0,0,0,1,0,0,1,0
"124","Non ho bisogno di stare con persone come loro.",0,0,0,0,0,0,0,0,0,0
"125","Ma cosa dico... non ho bisogno di nessuno.",0,0,0,0,0,0,0,0,0,0
"126","Mi chiedo perché abbia dato spago a Trevor, dovevo continuare ad ignorarlo.",0,1,0,0,0,0,0,1,0,1
"127","Come la prima volta.",0,0,0,0,0,0,0,0,0,0
"128","Anzi, mi chiedo perchè a me interessi tanto tutto questo, dato che non parlerò più con quei ragazzi.",0,0,0,0,0,0,0,0,0,0
"129","Torno a casa e trovo la mamma intenta a cucinare lasagne, dopo quanto accaduto oggi mi è passato l‘appetito.",0,0,0,1,0,0,0,1,1,0
"130","«Bentornata Allison, com‘è andato il primo giorno di scuola?» mi chiede indaffarata.",0,0,0,0,0,0,0,1,0,1
"131","«Una merd... una meraviglia!» riesco a riprendermi all‘ultimo.",0,0,0,0,0,0,1,0,0,1
"132","Non voglio far pesare questa cosa ai miei genitori.",0,1,0,0,0,0,0,1,0,0
"133","E non dirò mai loro che un ragazzo mi ha appena detto di avergli fatto sprecare tempo.",0,1,1,0,0,0,0,2,1,0
"134","«Bene, sono contenta.» ci ha creduto.",0,0,0,0,0,0,0,1,0,0
"135","«Hai conosciuto qualcuno?» mi chiede poi.",0,0,0,0,0,0,0,0,0,0
"136","«La preside e la segretaria.» rispondo mente salgo le scale.",0,0,0,0,0,0,0,0,0,1
"137","Poso lo zaino e mi cambio mettendo qualcosa di più comodo.",0,0,0,0,0,0,0,0,0,0
"138","«Qualcuno che sia al di fuori del personale scolastico?» continua, appoggiando le mani sporche di farina sui fianchi.",0,0,0,0,0,0,0,1,0,0
"139","Faccio ""no"" con la testa e mi siedo a tavola in attesa del mio pranzo.",0,0,0,0,0,0,0,0,1,0
"140","- Il pomeriggio passa in fretta e non tocco libro per tutto il tempo.",0,3,0,0,0,0,0,0,0,0
"141","Papà è tornato alle cinque, pensate se fossi rimasta fuori scuola ad aspettarlo tutto il tempo.",0,1,0,0,0,0,0,1,0,0
"142","Fortunatamente esistono gli smartphone.",0,0,0,0,0,0,0,0,0,0
"143","Niente è riuscito a farmi dimenticare l‘episodio con il gruppo di Trevor.",0,0,0,0,0,0,0,0,2,0
"144","Sento un senso di rabbia mangiarmi dentro, sento di non essermi difesa abbastanza.",2,1,0,1,0,0,0,1,2,3
"145","E a me non piace passare per l‘indifesa.",0,0,0,0,0,0,0,0,0,0
"146","Infilo un paio di shorts e una maglietta, lego i miei capelli in una coda alta e prendo il telefono con le cuffie.",0,0,0,0,0,0,0,0,0,0
"147","«Vado a correre.",0,0,0,0,0,0,0,0,0,0
"148","» dico a mia madre, che mi guarda uscire dalla porta incredula.",0,1,0,0,1,1,0,1,1,1
"149","«Allie!» urla Trevor dagli ultimi banchi.",0,0,0,0,0,0,0,0,0,0
"150","Perfetto.",0,1,0,0,1,0,0,1,0,1
"151","Con lui ci sono anche Bryan e Liam.",0,0,0,0,0,0,0,0,0,0
"152","Mi avvicino e li saluto timidamente.",0,0,0,0,1,0,0,0,0,1
"153","«Allora, ci hai pensato?» mi chiede.",0,0,0,0,0,0,0,0,0,0
"154","Roteo gli occhi.",0,0,0,0,0,0,0,0,0,0
"155","«Tanto non ci vengo.» dico, poi vado a sedermi al mio banco.",0,0,0,0,0,0,0,0,0,0
"156","«Dai, Allie.» mi dice con il labbruccio.",0,0,0,0,0,0,0,0,0,0
"157","Faccio ""no"" con la testa e torno a guardare fuori dalla finestra.",0,0,0,0,0,0,0,0,1,0
"158","Finalmente il professor Campbell entra in classe, interrompendo le continue lamentele di Trevor.",0,0,0,0,0,0,0,0,0,0
"159","Le varie lezioni passano velocemente, e questo non può rendermi più felice.",0,1,0,0,1,0,0,1,0,1
"160","«Allie.» mi chiama qualcuno.",0,0,0,0,0,0,0,0,0,0
"161","È ancora lui.",0,0,0,0,0,0,0,0,0,1
"162","«Trevor, ti ho detto che non ci vengo a quella stupida festa.",0,1,0,0,1,0,1,1,0,1
"163","Te lo devo scrivere su un cazzo di cartello?» sbotto esasperata.",1,0,1,1,0,0,1,0,2,0
"164","Se c‘è una cosa che non sopporto sono le persone insistenti.",0,0,0,0,0,0,0,0,0,0
"165","«Okay, okay, scusa.",0,0,0,0,0,0,0,0,1,1
"166","Volevo solo avere il tuo numero.» dice alzando le mani in segno di difesa.",1,1,0,1,0,0,0,0,0,1
"167","Prendo il suo telefono e gli salvo il numero.",0,0,0,0,0,0,0,0,0,0
"168","«Ora mi lascerai in pace?» dico, mentre gli do le spalle.",0,1,0,0,1,0,0,1,0,1
"169","«Credo proprio di no.» dice mettendo un dito sotto al mento.",0,0,0,0,0,0,0,0,1,0
"170","Mi giro verso di lui, sto per dire qualcosa ma mi trovo a terra.",0,0,0,0,0,0,0,0,0,1
"171","Ho sbattuto contro qualcosa, o meglio, qualcuno.",1,0,0,0,0,0,0,0,1,0
"172","E chi poteva essere se non il signore delle tenebre in persona?",0,0,1,0,0,0,0,1,1,1
"173","Mi guarda dall‘alto con occhi divertiti.",0,0,0,0,0,0,0,0,1,0
"174","Mi alzo e mi risistemo velocemente, di sicuro non mi aspettavo che mi aiutasse a tirarmi su.",0,0,0,0,1,0,0,1,0,1
"175","Raccolgo i miei libri e me ne vado sotto lo sguardo attento delle persone che avevano appena visto la scena.",0,0,0,0,0,0,0,1,0,2
"176","«Coglione.» dico tra me.",0,0,0,0,0,1,0,0,1,0
"177","«Puoi ripetere?» si gira verso di me e mette una mano dietro l‘orecchio, come se non avesse sentito.",0,0,0,0,0,0,0,0,0,0
"178","«Non si rivolge la parola a delle sfigate come me... possono farti perdere tempo.» rispondo mentre nascondo un sorriso beffardo.",3,2,2,1,2,3,3,3,3,3
"179","Maleducato che non è altro.",0,0,0,0,0,0,0,0,0,0
"180","Mi è venuto addosso senza neanche chiedermi scusa.",0,0,0,0,0,0,0,0,1,1
"181","Crede che io abbia paura di lui?",2,1,0,2,0,0,1,0,2,0
"182","Se lo scorda.",0,0,0,0,0,0,0,0,0,0
"183","Non mi farò mai mettere i piedi in testa da un individuo come lui.",0,0,0,0,0,0,0,0,0,0
"184","Torno a camminare verso l‘uscita.",0,0,0,0,0,0,0,0,0,0
"185","1 - 0 per Allie, caro Caleb.",0,0,0,0,1,0,0,1,0,2
"186","Cerco con lo sguardo la macchina di mio padre, la vedo parcheggiata fuori il cancello della scuola.",0,0,0,0,0,0,0,4,0,0
"187","Corro verso di lui e salgo in macchina, mette in moto e andiamo a casa.",0,0,0,0,0,0,0,1,0,0
"188","Durante il tragitto mi arriva un messaggio da un numero sconosciuto.",0,1,0,2,0,0,0,0,2,0
"189","""Ragazza nuova, come ci si sente ad avere il numero di uno dei ragazzi più popolari di questa scuola?"" Trevor.",0,0,0,0,0,0,0,1,0,0
"190","Mi metto una mano sul viso e rido.",0,0,0,0,0,0,0,0,0,0
"191","Salvo il suo numero e tolgo il telefono, tornando a rispondere alle continue domande di mio padre.",0,0,0,0,0,0,0,1,0,0
"192","«Tesoro, bentornata!» mi dice mia madre, lasciandomi un bacio sulla tempia.",0,3,0,0,3,1,1,2,1,3
"193","Mi trascino sulle scale e vado a posare lo zaino in camera.",0,0,0,0,0,0,0,0,0,0
"194","Dopo aver pranzato insieme alla mia famiglia torno su per fare qualche compito.",0,0,0,0,0,0,0,1,0,3
"195","A breve ci sarà una verifica di matematica e voglio fare almeno bella figura.",0,1,0,0,1,0,0,2,0,2
"196","Devo dire che non sono mai stata una grande studiosa, mi impegno solo sulle materie che mi appassionano.",0,0,0,0,0,0,0,0,0,0
"197","Con le altre faccio uno studio più superficiale, diciamo.",0,0,0,0,0,0,0,0,1,1
"198","Con il telefono che continua a suonare non riesco a concentrarmi, così lo prendo per mettere il silenzioso.",0,0,0,0,0,0,0,0,0,0
"199","Per un attimo spero che sul quel display ci sia scritto il nome di Alicia, o il nome di Ivy.",0,0,0,0,0,0,0,0,0,0
"200","Magari le manco, magari mi hanno scritto per dirmi che presto verranno a trovarmi.",0,0,0,0,1,0,1,0,0,1
"201","Magari mi stanno dicendo qualche gossip su qualcuno del nostro quartiere, o magari mi stanno semplicemente raccontando la loro giornata.",0,0,0,0,0,0,0,0,0,0
"202","Invece no, è solamente Trevor.",0,0,0,0,0,0,0,0,1,0
"203","Quello strano senso di ansia che si era creato scompare non appena leggo il suo nome.",1,1,1,1,0,1,0,0,2,1
"204","È quasi una settimana che sono qui a Los Angeles, e le mie amiche, le mie migliori amiche, non si sono ancora fatte sentire.",0,0,0,0,0,0,0,0,0,1
"205","Forse mi hanno tagliata fuori dal gruppo, forse non le è mai interessato niente di me.",0,0,1,1,0,2,0,0,1,1
"206","Esco dall‘acqua e dopo essermi asciugata un pò, saluto Trevor e torno a casa.",0,0,0,0,1,0,0,0,0,1
"207","Il sole sta calando, ma fa comunque caldo.",1,1,0,0,1,0,1,1,0,1
"208","Non vedo l‘ora di tornare a casa per togliermi di dosso l‘odore del sale.",1,0,1,0,0,0,0,0,2,0
"209","«Sono tornata!» urlo dall‘ingresso.",2,0,1,1,0,1,2,1,1,0
"210","«Signorina, ti pare questa l‘ora di rientrare a casa?» mi sgrida mia madre.",0,1,0,0,1,1,0,1,1,1
"211","«Ho avuto un piccolo imprevisto.",0,0,0,0,0,0,0,0,1,0
"212","» corro via come un fulmine e mi chiudo in bagno per fare una doccia.",1,0,0,1,0,0,1,0,1,1
"213","- La mattina seguente mi sveglio e vado a fare colazione.",0,0,0,0,0,0,0,0,0,1
"214","Dopo essermi lavata e vestita prendo lo zaino e mi incammino verso scuola.",0,0,0,0,0,0,0,1,0,0
"215","Oggi ci sarà la verifica di matematica, speriamo bene.",0,0,0,0,0,0,0,1,0,1
"216","Il sole splende già alto in cielo e infastidisce i miei poveri occhi chiari.",0,1,0,0,1,0,1,1,1,2
"217","Infilo le cuffiette e faccio partire la playlist.",0,1,0,0,0,2,1,0,1,0
"218","Durante il tragitto cerco di non pensare troppo, di liberare la mente e di rilassarmi: alla fine è solo una verifica.",1,1,0,0,1,0,1,2,0,3
"219","Quando arrivo davanti ai cancelli della East Side mi fermo e mi appoggio al muretto per dare un‘ultima occhiata ai miei appunti.",0,2,0,0,0,0,1,0,0,1
"220","Sento tre figure farmi ombra, alzo lo sguardo e trovo Bryan, Liam e Trevor.",0,0,0,0,0,0,0,0,0,0
"221","«Buongiorno ragazzi, vi serve qualcosa?» chiedo sfilando una cuffietta e guardandoli curiosa.",0,0,0,0,0,0,0,0,0,0
"222","«So che verrai alla festa.» mi dice Bryan.",0,1,0,0,1,0,1,0,0,1
"223","Annuisco con amarezza.",1,0,1,0,0,1,0,0,1,0
"224","«Sono stata obbligata.» farfuglio lanciando un‘occhiataccia a Trevor.",0,0,0,0,0,0,0,0,0,0
"225","Lui punta lo sguardo da un‘altra parte e comincia a fischiettare.",0,0,0,1,0,0,0,0,0,0
"226","Lo odio.",2,0,2,2,0,2,0,0,2,0
"227","«Beh?» chiedo incalzandoli.",0,0,0,0,0,0,0,0,0,0
"228","Mi stanno facendo perdere tempo e non lo sopporto.",2,1,1,1,0,2,1,0,2,0
"229","«Nulla, ottima scelta.",0,0,0,0,0,0,0,0,0,1
"230","Non te ne pentirai, te lo assicuro.» mi dice Bryan.",0,0,0,0,0,0,0,0,0,0
"231","«Il braccialetto, Bry.» dice Liam estraendo qualcosa dalla tasca.",0,0,0,0,0,0,0,0,0,0
"232","«Ah, si... infila questo e avrai gli alcolici gratis.» Liam me lo porge e lo prendo insicura.",0,0,0,0,0,0,0,0,0,0
"233","Ma cosa...?",0,0,0,0,0,0,0,0,0,0
"234","La campanella suona avvertendo l‘inizio delle lezioni.",0,2,0,0,0,0,0,0,0,0
"235","«Okay ragazzi, vi devo lasciare.",0,0,0,0,0,0,0,0,0,0
"236","Grazie per il braccialetto, buona giornata.» me ne vado di corsa per uscire da quello stato di imbarazzo che si era creato.",1,0,1,3,0,2,1,0,4,0
"237","Corro nella classe di matematica e mi preparo per la verifica.",0,0,0,0,0,0,0,1,0,1
"238","Allie, puoi farcela.",0,0,0,0,0,0,0,0,0,0
"239","- Credo che la verifica sia andata abbastanza bene, tra una lezione e l‘altra non sono ancora riuscita a confrontarmi con il libro.",0,1,0,0,0,1,0,3,1,4
"240","Adesso sono negli spogliatoi per la lezione di educazione fisica, la prima.",0,1,0,0,0,0,0,1,0,3
"241","Sono circondata da ragazze in canottiera e shorts che pettinano con cura i loro capelli.",0,0,0,0,0,0,0,0,0,0
"242","Io invece ho dei semplicissimi leggins e una maglia bianca, mentre i capelli sono raccolti in una coda disordinata.",0,0,0,0,0,0,0,0,0,0
"243","Il professore ci chiama e in fila ci dirigiamo verso un grande campo da football.",1,0,0,0,0,0,0,0,1,0
"244","Suppongo che facciano sempre lezione all‘aperto.",0,1,0,0,0,0,0,1,0,1
"245","«Cominciamo con il riscaldamento.»",0,0,0,0,0,0,0,0,0,0
"246","Ci fa correre lungo il campo per svariati minuti e dopo ci fa fare stretching.",0,1,0,0,0,0,0,0,0,0
"247","Poi entrano i ragazzi.",0,0,0,0,0,0,0,0,0,0
"248","Tutte, e dico tutte, le mie compagne fanno di tutto pur di mostrarsi davanti a loro.",0,0,0,0,0,0,0,0,0,0
"249","Credo che Ronnie, la ragazza che mi ha dato della perditempo qualche giorno fa, stia per spezzarsi.",1,0,1,0,0,0,0,0,1,0
"250","Poi ci sono io, che non riesco neanche a toccarmi le punte dei piedi.",0,0,0,0,0,0,0,0,0,0
"251","«Signorina Clark, dovrà cominciare ad allenarsi.» mi riprende il professore.",0,0,0,0,0,0,0,0,0,0
"252","Non siamo mica nate tutte cheerleader!",0,0,0,0,0,0,0,0,0,0
"253","Mentre mi tiro su per passare alle braccia, incontro lo sguardo di Caleb.",3,0,0,2,0,1,1,0,3,0
"254","Lo incenerisco con gli occhi, che cos‘ha da guardare?",0,0,0,0,0,0,0,0,0,0
"255","Lui accenna un sorriso e torna a giocare con i suoi compagni.",0,1,0,0,2,0,2,2,0,2
"256","Sento qualcuno ridere alle mie spalle.",0,0,0,0,0,0,0,0,0,0
"257","È la bionda tinta.",0,0,0,0,0,0,0,0,0,0
"258","«Cos‘hai da ridere?",0,0,0,0,0,0,0,0,0,0
"259","Dovresti disperarti dato che il tuo ragazzo mi stava mangiando con gli occhi.»",0,0,1,0,0,0,0,0,1,0
"260","Aspetto appoggiata al cofano della sua macchina per quindici minuti buoni.",0,0,0,0,0,0,0,1,0,0
